Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,Mouth Width,Mouth Height,Timestamp
Doubt,13.038405,13.038405,16.763055,17.029386,43.185646,36.674242,37.054015,110.222502,0.045000ms,
Doubt,12.000000,13.038405,17.000000,17.029386,42.449971,36.674242,37.215588,110.222502,0.097000ms,
Doubt,13.152946,13.038405,16.763055,15.811388,41.868843,36.400549,37.054015,110.113578,0.148000ms,
Doubt,13.000000,13.341664,15.652476,16.278821,41.725292,36.249138,35.057096,108.018517,0.203000ms,
Angry,12.000000,12.041595,14.866069,16.278821,41.109610,38.078866,35.227830,110.113578,0.259000ms,
Neutral,12.000000,12.000000,14.866069,16.124515,42.638011,38.910153,35.227830,110.113578,0.320000ms,
Doubt,13.000000,14.000000,14.866069,17.117243,43.278170,39.812058,35.057096,110.113578,0.386000ms,
Doubt,13.152946,14.035669,16.278821,14.560220,42.801869,39.000000,37.054015,110.113578,0.448000ms,
Doubt,13.000000,14.035669,15.811388,15.132746,46.097722,37.576588,35.057096,108.074049,0.509000ms,
Doubt,13.000000,14.142136,15.652476,17.117243,43.863424,39.560081,35.057096,106.018866,0.567000ms,
Doubt,13.000000,14.000000,14.866069,17.117243,43.278170,39.395431,35.057096,110.113578,0.618000ms,
Doubt,14.000000,13.038405,14.866069,17.117243,43.931765,39.395431,37.215588,110.113578,0.685000ms,
Doubt,13.038405,13.038405,16.124515,14.560220,44.045431,38.626416,37.054015,110.113578,0.743000ms,
Doubt,13.152946,13.038405,16.124515,14.560220,42.801869,38.626416,37.054015,108.115679,0.806000ms,
